model,seed,layers,activation,optimizer,learning_rate,test_accuracy,test_loss,precision,recall
mlp_word_tokens,3984522128,1,LeakyReLU,Adam,0.0001,0.8681,0.4387,0.8697,0.866
mlp_word_tokens,958425074,3,LeakyReLU,SGD,0.0001,0.545,0.7148,0.5453,0.5425
mlp_word_tokens,3323213511,2,ReLU,SGD,0.0001,0.5384,0.7519,0.5391,0.5296
mlp_word_tokens,1559482149,1,Tanh,SGD,0.001,0.7218,0.5457,0.7244,0.716
mlp_word_tokens,2965523731,1,ReLU,RMSProp,0.0005,0.8704,0.4146,0.8734,0.8662
mlp_word_tokens,4046576386,1,ReLU,RMSProp,0.0001,0.8645,0.4332,0.8611,0.8692
mlp_word_tokens,899122346,1,ReLU,RMSProp,0.001,0.8781,0.3134,0.878,0.8783
mlp_word_tokens,553015436,2,LeakyReLU,Adam,0.0005,0.8668,0.4112,0.8684,0.8645
mlp_word_tokens,3487733834,3,Tanh,SGD,0.001,0.69,0.6076,0.6902,0.6896
mlp_word_tokens,1191073217,3,Tanh,RMSProp,0.0001,0.857,0.4282,0.8462,0.8726
mlp_word_tokens,191607679,1,Tanh,Adam,0.0005,0.8655,0.3182,0.8708,0.8582
mlp_word_tokens,2631552540,2,LeakyReLU,SGD,0.0001,0.6072,0.823,0.6057,0.614
mlp_word_tokens,3813663359,2,LeakyReLU,SGD,0.001,0.7579,0.5147,0.7722,0.7317
mlp_word_tokens,2067373680,1,LeakyReLU,RMSProp,0.0001,0.8662,0.4095,0.8634,0.8699
mlp_word_tokens,4123870752,3,ReLU,RMSProp,0.001,0.8696,0.4495,0.8713,0.8674
mlp_word_tokens,1038540931,1,Tanh,SGD,0.001,0.7616,0.5374,0.7646,0.7558
mlp_word_tokens,3966989730,3,ReLU,SGD,0.0001,0.5538,0.7136,0.5525,0.5654
mlp_word_tokens,2164491565,1,LeakyReLU,Adam,0.0001,0.8684,0.3232,0.8711,0.8647
mlp_word_tokens,3761861306,3,Tanh,Adam,0.0005,0.8689,0.414,0.872,0.8647
mlp_word_tokens,2540823754,2,ReLU,RMSProp,0.001,0.874,0.4391,0.8725,0.8762
mlp_word_tokens,1525782923,1,LeakyReLU,SGD,0.001,0.6626,0.659,0.6629,0.6618
mlp_word_tokens,1301736257,3,ReLU,Adam,0.0001,0.8538,0.3139,0.8532,0.8547
mlp_word_tokens,2270896819,3,ReLU,Adam,0.001,0.8704,0.3411,0.8712,0.8693
mlp_word_tokens,2263564001,3,LeakyReLU,Adam,0.0001,0.8543,0.4455,0.8496,0.861
mlp_word_tokens,1356534009,3,LeakyReLU,RMSProp,0.001,0.8648,0.4284,0.8835,0.8404
mlp_word_tokens,3107539048,1,LeakyReLU,Adam,0.001,0.8693,0.4531,0.8722,0.8654
mlp_word_tokens,3356299630,2,Tanh,SGD,0.001,0.7543,0.4447,0.7527,0.7575
mlp_word_tokens,1318649248,2,LeakyReLU,RMSProp,0.0001,0.8555,0.4326,0.8496,0.8638
mlp_word_tokens,3194586545,3,Tanh,RMSProp,0.0001,0.8583,0.4034,0.8568,0.8604
mlp_word_tokens,1921438335,1,ReLU,RMSProp,0.001,0.8753,0.4314,0.8749,0.8758
mlp_word_tokens,1055437342,2,Tanh,SGD,0.0005,0.7096,0.6247,0.7111,0.7062
mlp_word_tokens,3555959887,2,Tanh,RMSProp,0.0005,0.8658,0.4357,0.864,0.8683
mlp_word_tokens,179453682,3,Tanh,Adam,0.0001,0.861,0.3702,0.8614,0.8605
mlp_word_tokens,2488021006,1,Tanh,RMSProp,0.0005,0.8674,0.4151,0.8702,0.8637
mlp_word_tokens,3884932664,1,Tanh,SGD,0.0005,0.6596,0.5871,0.6594,0.6604
mlp_word_tokens,3872655412,1,ReLU,Adam,0.0001,0.8644,0.4317,0.8658,0.8626
mlp_word_tokens,1156988685,3,Tanh,Adam,0.0005,0.8679,0.3134,0.8693,0.8659
mlp_word_tokens,1059371462,3,ReLU,Adam,0.0001,0.8537,0.4776,0.8493,0.86
mlp_word_tokens,4151703283,1,ReLU,SGD,0.0005,0.6957,0.5664,0.6928,0.7032
mlp_word_tokens,2961045764,3,LeakyReLU,SGD,0.0005,0.7044,0.5797,0.7008,0.7132
mlp_word_tokens,3551022872,1,ReLU,SGD,0.001,0.6489,0.7503,0.6484,0.6506
mlp_word_tokens,765249434,3,LeakyReLU,RMSProp,0.0001,0.8558,0.3161,0.8571,0.8541
mlp_word_tokens,2702678336,2,LeakyReLU,RMSProp,0.001,0.8721,0.3937,0.8698,0.8752
